book_id,book_name,shelf_id,shelf_name,page_id,page_name
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Johnson,"Johnson and Christy 1972: n,k 0.188–1.94 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Choi,"Choi et al. 2020: n,k 1.23–6.99 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-298K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 298 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-404K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 404 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-501K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 501 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ferrera-600K,"Ferrera et al. 2019: n,k 0.245–1.45 µm; 600 K"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Jiang,"Jiang et al. 2016: n,k 0.300–2.000 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Yang,"Yang et al. 2015: n,k 0.270–24.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,McPeak,"McPeak et al. 2015: n,k 0.3–1.7 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Babar,"Babar and Weaver 2015: n,k 0.207–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Wu,"Wu et al. 2014: n,k 0.29–1.00 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Werner,"Werner et al. 2009: n,k 0.0176–2.48 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Stahrenberg,"Stahrenberg et al. 2001: n,k 0.128–0.496 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Windt,"Windt et al. 1988: n,k 0.0024–0.122 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 2.48e-6-248 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski,"Ciesielski et al. 2017: Ag/SiO2; n,k 0.191–20.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski-Ge,"Ciesielski et al. 2017: Ag/Ge/SiO2; n,k 0.191–20.9 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Ciesielski-Ni,"Ciesielski et al. 2017: Ag/Ni/SiO2; n,k 0.191–15.8 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.248–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.248–12.4 µm"
Ag,Ag (Silver),main,MAIN - simple inorganic materials,Werner-DFT,"Werner et al. 2009: DFT calculations; n,k 0.0176–2.48 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic,"Rakić 1995: n,k 0.000124–200 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Cheng,"Cheng et al. 2016: n,k 0.225–1.00 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,McPeak,"McPeak et al. 2015: n,k 0.15–1.7 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Larruquert,"Larruquert et al. 1996: n,k 0.077–0.114 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Ordal,"Ordal et al. 1988: n,k 0.667–200 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 0.0000103–1240 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Mathewson,"Mathewson and Myers 1971: n,k 0.496–1.77 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.0620–248 µm"
Al,Al (Aluminium),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.0620–248 µm"
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-α,Walling et al. 1980: n(α) 0.25–2.6 µm
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-β,Walling et al. 1980: n(β) 0.25–2.6 µm
BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",main,MAIN - simple inorganic materials,Walling-γ,Walling et al. 1980: n(γ) 0.25–2.6 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-α,Pestryakov et al. 1997: n(α) 0.43–1.1 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-β,Pestryakov et al. 1997: n(β) 0.43–1.1 µm
BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",main,MAIN - simple inorganic materials,Pestryakov-γ,Pestryakov et al. 1997: n(γ) 0.43–1.1 µm
CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",main,MAIN - simple inorganic materials,Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm
CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",main,MAIN - simple inorganic materials,Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm
CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",main,MAIN - simple inorganic materials,Loiko-o,Loiko et al. 2017: n(o) 0.35–2.1 µm
CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",main,MAIN - simple inorganic materials,Loiko-e,Loiko et al. 2017: n(e) 0.35–2.1 µm
MgAl2O4,"MgAl<sub>2</sub>O<sub>4</sub> (Magnesium aluminate, spinel)",main,MAIN - simple inorganic materials,Tropf,Tropf and Thomas 1991: n 0.35–5.5 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Bideau-Mehu,Bideau-Mehu et al. 1981: n 0.140–0.568 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Borzsonyi,Börzsönyi et al. 2008: n 0.4–1.0 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Peck-0C,Peck and Fisher 1964: n 0.47–2.06 µm; 0 °C
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Peck-15C,Peck and Fisher 1964: n 0.47–2.06 µm; 15 °C
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Larsen,Larsén 1934: n 0.230–0.568 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Cuthbertson,Cuthbertson and Cuthbertson 1910: n 0.480–0.671 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-liquid-90K,Sinnock and Smith 1969: Liquid at 90 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-liquid-88K,Sinnock and Smith 1969: Liquid at 88 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-liquid-86K,Sinnock and Smith 1969: Liquid at 86 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-liquid-83.81K,Sinnock and Smith 1969: Liquid at 83.81 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Grace-liquid-90K,Grace et al 2017: Liquid at 90 K; n 0.117–0.660 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Grace-liquid-83.81K,Grace et al 2017: Liquid at 83.81 K; n 0.117–0.660 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-83.81K,Sinnock and Smith 1969: Solid at 83.81 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-80K,Sinnock and Smith 1969: Solid at 80 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-70K,Sinnock and Smith 1969: Solid at 70 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-60K,Sinnock and Smith 1969: Solid at 60 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-50K,Sinnock and Smith 1969: Solid at 50 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-40K,Sinnock and Smith 1969: Solid at 40 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-30K,Sinnock and Smith 1969: Solid at 30 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Sinnock-solid-20K,Sinnock and Smith 1969: Solid at 20 K; n 0.361–0.644 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Grace-solid-83.81K,Grace et al 2017: Solid at 83.81 K; n 0.117–0.660 µm
Ar,Ar (Argon),main,MAIN - simple inorganic materials,Grace-solid-20K,Grace et al 2017: Solid at 20 K; n 0.117–0.660 µm
AlAs,AlAs (Aluminium arsenide),main,MAIN - simple inorganic materials,Fern,Fern and Onton 1971: n 0.56–2.2 µm
AlAs,AlAs (Aluminium arsenide),main,MAIN - simple inorganic materials,Rakic,"Rakić and Majewski 1996: n,k 0.221–2.48 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Aspnes,"Aspnes et al. 1986: n,k 0.207–0.827 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Perner,Perner et al. 2023: n 2.0–7.1 µm
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Papatryfonos,"Papatryfonos et al. 2021: n,k 0.260–1.88 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Skauli,Skauli et al. 2003: n 0.97–17 µm
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Jellison,"Jellison 1992: n,k 0.234–0.840 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Kachare,Kachare et al. 1976: n 1.4–11 µm
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Adachi,"Adachi 1989: n,k 0.207–12.4 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Rakic,"Rakić and Majewski 1996: n,k 0.207–12.4 µm"
GaAs,GaAs (Gallium arsenide),main,MAIN - simple inorganic materials,Ozaki,"Ozaki and Adachi 1995: n,k 0.221–1.03 µm"
InAs,InAs (Indium arsenide),main,MAIN - simple inorganic materials,Aspnes,"Aspnes and Studna 1983: n,k 0.21–0.83 µm"
InAs,InAs (Indium arsenide),main,MAIN - simple inorganic materials,Lorimor,Lorimor and Spitzer 1965: n 3.7–31.3 µm
InAs,InAs (Indium arsenide),main,MAIN - simple inorganic materials,Adachi,"Adachi 1989: n,k 0.207–12.4 µm"
CdGeAs2,CdGeAs<sub>2</sub> (Cadmium germanium arsenide),main,MAIN - simple inorganic materials,Boyd-o,Boyd et al. 1972: n(o) 2.4–11.5 µm
CdGeAs2,CdGeAs<sub>2</sub> (Cadmium germanium arsenide),main,MAIN - simple inorganic materials,Boyd-e,Boyd et al. 1972: n(e) 2.4–11.5 µm
ZnSiAs2,ZnSiAs<sub>2</sub> (Zinc silicon arsenide),main,MAIN - simple inorganic materials,Boyd-o,Boyd et al. 1972: n(o) 0.7–11.5 µm
ZnSiAs2,ZnSiAs<sub>2</sub> (Zinc silicon arsenide),main,MAIN - simple inorganic materials,Boyd-e,Boyd et al. 1972: n(e) 0.7–11.5 µm
Au,Au (Gold),main,MAIN - simple inorganic materials,Johnson,"Johnson and Christy 1972: n,k 0.188–1.937 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Magnozzi-25C,"Magnozzi et al. 2019: n,k 0.252–1.45 µm; 25 °C"
Au,Au (Gold),main,MAIN - simple inorganic materials,Magnozzi-225C,"Magnozzi et al. 2019: n,k 0.252–1.45 µm; 225 °C"
Au,Au (Gold),main,MAIN - simple inorganic materials,Magnozzi-350C,"Magnozzi et al. 2019: n,k 0.252–1.45 µm; 350 °C"
Au,Au (Gold),main,MAIN - simple inorganic materials,McPeak,"McPeak et al. 2015: n,k 0.3–1.7 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Babar,"Babar and Weaver 2015: n,k 0.2066–12.40 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Olmon-ev,"Olmon et al. 2012: Evaporated gold; n,k 0.300–24.93 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Olmon-sc,"Olmon et al. 2012: Single-crystal gold; n,k 0.300–24.93 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Olmon-ts,"Olmon et al. 2012: Template-stripped gold; n,k 0.300–24.9 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Werner,"Werner et al. 2009: n,k 0.0176–2.48 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Windt,"Windt et al. 1988: n,k 0.0024–0.122 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Ordal,"Ordal et al. 1987: n,k 0.667–286 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 0.000008266–248 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Hagemann-2,"Hagemann et al. 1974 #2: n,k 0.00354–0.827 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-25nm,"Yakubovsky et al. 2017: 25-nm film; n,k 0.30–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-53nm,"Yakubovsky et al. 2017: 53-nm film; n,k 0.30–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-117nm,"Yakubovsky et al. 2017: 117-nm film; n,k 0.30–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Rosenblatt-11nm,"Rosenblatt et al. 2020: 11-nm film; n,k 0.25–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Rosenblatt-21nm,"Rosenblatt et al. 2020: 21-nm film; n,k 0.30–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Rosenblatt-44nm,"Rosenblatt et al. 2020: 44-nm film; n,k 0.30–2.0 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-4nm,"Yakubovsky et al. 2019: 4-nm film; n,k 0.30–3.3 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-6nm,"Yakubovsky et al. 2019: 6-nm film; n,k 0.30–3.3 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Yakubovsky-9nm,"Yakubovsky et al. 2019: 9-nm film; n,k 0.30–3.3 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Ciesielski,"Ciesielski et al. 2018: Au/SiO2; n,k 0.191–20.9 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Ciesielski-Ge,"Ciesielski et al. 2018: Au/Ge/SiO2 n,k 0.191–20.9 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Lemarchand-3.96nm,"Lemarchand 2013: 3.96-nm film; n,k 0.35–1.8 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Lemarchand-4.62nm,"Lemarchand 2013: 4.62-nm film; n,k 0.35–1.8 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Lemarchand-5.77nm,"Lemarchand 2013: 5.77-nm film; n,k 0.35–1.8 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Lemarchand-11.7nm,"Lemarchand 2013: 11.7-nm film; n,k 0.35–1.8 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.248–6.20 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.248–6.20 µm"
Au,Au (Gold),main,MAIN - simple inorganic materials,Werner-DFT,"Werner et al. 2009: DFT calculations; n,k 0.0176–2.48 µm"
B,B (Boron),main,MAIN - simple inorganic materials,Fernandez-Perea,"Fernández-Perea et al. 2007: n,k 0.00138–0.181 µm"
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Eimerl-o,Eimerl et al. 1987: n(o) 0.22–1.06 µm
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Eimerl-e,Eimerl et al. 1987: n(e) 0.22–1.06 µm
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Tamosauskas-o,"Tamošauskas et al. 2018: n(o),k 0.188–5.2 µm"
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Tamosauskas-e,"Tamošauskas et al. 2018: n(e),k 0.188–5.2 µm"
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Zhang-o,Zhang et al. 2000: n(o) 0.64–3.18 µm
BaB2O4,"BaB<sub>2</sub>O<sub>4</sub> (Barium borate, BBO)",main,MAIN - simple inorganic materials,Zhang-e,Zhang et al. 2000: n(e) 0.64–3.18 µm
BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",main,MAIN - simple inorganic materials,Umemura-α,Umemura et al. 2007: n(α) 0.48–3.1 µm
BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",main,MAIN - simple inorganic materials,Umemura-β,Umemura et al. 2007: n(β) 0.48–3.1 µm
BiB3O6,"BiB<sub>3</sub>O<sub>6</sub> (Bismuth triborate, BiBO)",main,MAIN - simple inorganic materials,Umemura-γ,Umemura et al. 2007: n(γ) 0.48–3.1 µm
LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",main,MAIN - simple inorganic materials,Chen-α,Chen et al. 1989: n(α) 0.289–1.06 µm
LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",main,MAIN - simple inorganic materials,Chen-β,Chen et al. 1989: n(β) 0.289–1.06 µm
LiB3O5,"LiB<sub>3</sub>O<sub>5</sub> (Lithium triborate, LBO)",main,MAIN - simple inorganic materials,Chen-γ,Chen et al. 1989: n(γ) 0.289–1.06 µm
CsLiB6O10,"CsLiB<sub>6</sub>O<sub>10</sub> (Cesium lithium borate, CLBO)",main,MAIN - simple inorganic materials,Sasaki-o,Sasaki et al. 2003: n(o) 0.19–2.75 µm
CsLiB6O10,"CsLiB<sub>6</sub>O<sub>10</sub> (Cesium lithium borate, CLBO)",main,MAIN - simple inorganic materials,Sasaki-e,Sasaki et al. 2003: n(e) 0.19–2.75 µm
LuAl3(BO3)4,"LuAl<sub>3</sub>(BO<sub>3</sub>)<sub>4</sub> (Lutetium aluminium borate, LuAB)",main,MAIN - simple inorganic materials,Fang-o,Fang et al. 2013: n(o) 0.266–1.34 µm
LuAl3(BO3)4,"LuAl<sub>3</sub>(BO<sub>3</sub>)<sub>4</sub> (Lutetium aluminium borate, LuAB)",main,MAIN - simple inorganic materials,Fang-e,Fang et al. 2013: n(e) 0.266–1.34 µm
Be,Be (Beryllium),main,MAIN - simple inorganic materials,Rakic-BB,"Rakić et al. 1998: Brendel-Bormann model; n,k 0.248–62.0 µm"
Be,Be (Beryllium),main,MAIN - simple inorganic materials,Rakic-LD,"Rakić et al. 1998: Lorentz-Drude model; n,k 0.248–62.0 µm"
Be,Be (Beryllium),main,MAIN - simple inorganic materials,Svechnikov,"Svechnikov et al. 2020: n,k 0.00496–0.0608 µm"
Bi,Bi (Bismuth),main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 0.00155–6.20 µm"
Bi,Bi (Bismuth),main,MAIN - simple inorganic materials,Werner,"Werner et al. 2009: n,k 0.0176–2.48 µm"
Bi,Bi (Bismuth),main,MAIN - simple inorganic materials,Werner-DFT,"Werner et al. 2009: DFT calculations; n,k 0.0176–2.48 µm"
AgBr,AgBr (Silver bromide),main,MAIN - simple inorganic materials,Schröter,Schröter 1931: n 0.495–0.67 µm
AgBr,AgBr (Silver bromide),main,MAIN - simple inorganic materials,Polyanskiy,Polyanskiy et al. 2024: n 0.495–12.7 µm
CsBr,CsBr (Cesium bromide),main,MAIN - simple inorganic materials,Li,Li 1976: n 0.21–55 µm; 20 °C
CsBr,CsBr (Cesium bromide),main,MAIN - simple inorganic materials,Querry,"Querry 1987: n,k 0.213–149 µm"
CsBr,CsBr (Cesium bromide),main,MAIN - simple inorganic materials,Rodney,Rodney and Spindler 1953: n 0.365–39 µm; 27 °C
KBr,KBr (Potassium bromide),main,MAIN - simple inorganic materials,Li,Li 1976: n 0.20–42 µm
LiBr,LiBr (Lithium bromide),main,MAIN - simple inorganic materials,Li,Li 1976: n 0.21–20 µm
NaBr,NaBr (Sodium bromide),main,MAIN - simple inorganic materials,Li,Li 1976: n 0.21–34 µm
RbBr,RbBr (Rubidium bromide),main,MAIN - simple inorganic materials,Li,Li 1976: n 0.21–50 µm
TlBr,TlBr (Thallium bromide),main,MAIN - simple inorganic materials,Palik,Palik 1985: n 0.57–39.4 µm
TlBr,TlBr (Thallium bromide),main,MAIN - simple inorganic materials,Schroter,Schröter 1931: n 0.54–0.65 µm
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Phillip,"Phillip and Taft 1964: Diamond; n,k 0.0354–10 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Peter,Peter 1923: Diamond; n 0.226–0.760 µm
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Dore,"Dore et al. 1998: Polycrystalline CVD diamond; n,k 2.5–500 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Taylor,"Taylor et al. 2023: Single-crystal CVD; n,k 0.193–1.69 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Hagemann,"Hagemann et al. 1974: n,k 0.0000413–124 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Larruquert,"Larruquert et al. 2013: n,k 0.0197–10.1 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Arakawa,"Arakawa et al. 1977: n,k 0.326–2.07 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Djurisic-o,"Djurišić and Li 1999: Graphite; n,k (o); 0.0310–10.332 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Djurisic-e,"Djurišić and Li 1999: Graphite; n,k (e); 0.0310–0.5904 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-DixonKS2,"Querry 1985: Graphite pellet, Dixon KS-2; n,k 0.21–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-DixonHPN2,"Querry 1985: Graphite pellet, Dixon HPN-2; n,k 0.20–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-Dixon200-10,"Querry 1985: Graphite pellet, Dixon 200-10; n,k 0.21–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-AsburyMicro260,"Querry 1985: Graphite pellet, Asbury Micro 260; n,k 0.21–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-Dixon1102,"Querry 1985: Intercalated graphite pellet, Dixon 1102; n,k 0.20–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-Asbury3222,"Querry 1985: Intercalated graphite pellet, Asbury 3222; n,k 0.20–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Querry-Pyrolytic,"Querry 1985: Pyrolytic carbon; n,k 0.21–55.6 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-cHOPG-o,"Song et al. 2018: c-HOPG; n,k(o) 0.193–1.69 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-cHOPG-e,Song et al. 2018: c-HOPG; n(e) 0.193–1.69 µm
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-sHOPG-o,"Song et al. 2018: s-HOPG; n,k(o) 0.193–1.69 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-sHOPG-e,Song et al. 2018: s-HOPG; n(e) 0.193–1.69 µm
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Weber,"Weber et al. 2010: Graphene; n,k 0.21–1.0 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Tikuisis,"Tikuišis et al. 2023: Graphene; n,k 0.226–4.40 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,El-Sayed,"El-Sayed et al. 2021: Graphene; n,k 0.24–1.0 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song,"Song et al. 2018: Graphene; n,k 0.193–1.69 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Ermolaev,"Ermolaev et al. 2020: CNT film, aerosol CVD; n,k 0.250–3.30 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Ermolaev-SWCNT-o,"Ermolaev et al. 2023: Aligned CNT monolayer; n,k(o) 0.250–1.70 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Ermolaev-SWCNT-e,"Ermolaev et al. 2023: Aligned CNT monolayer; n,k(e) 0.250–1.70 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-Arc,"Song et al. 2020: CNT film, Arc grown; n,k 0.370–1.69 µm"
C,"C (Carbon, diamond, graphite, graphene, carbon nanotubes)",main,MAIN - simple inorganic materials,Song-HiPco,"Song et al. 2020: CNT film, HiPco grown; n,k 0.370–1.69 µm"
B4C,B<sub>4</sub>C (Boron carbide),main,MAIN - simple inorganic materials,Larruquert,"Larruquert et al. 2012: n,k 0.001738–21.54 µm"
SiC,SiC (Silicon carbide),main,MAIN - simple inorganic materials,Singh-o,Singh et al. 1971: α-SiC; n(o) 0.488–1.064 µm
SiC,SiC (Silicon carbide),main,MAIN - simple inorganic materials,Singh-e,Singh et al. 1971: α-SiC; n(e) 0.488–1.064 µm
SiC,SiC (Silicon carbide),main,MAIN - simple inorganic materials,Wang-6H-o,Wang et al. 2013: 6H-SiC; n(o) 0.436–2.33 µm
